HP:0004015	橈骨骨幹端の異常
HP:0005346	異常な表情
HP:0005347	軟骨性気管
HP:0006677	遷延性 QRS 複合
HP:0004016	杯状橈骨骨幹端
HP:0004017	外骨症 (橈骨骨幹端)
HP:0005348	吸気性喘鳴
HP:0006679	肉芽腫性冠動脈炎
HP:0005349	低形成 of the 喉頭蓋
HP:0004018	橈骨骨幹端フレア
HP:0004019	不規則な橈骨骨幹端
HP:0006670	心筋収縮障害
HP:0005340	痙性/過活動性膀胱
HP:0004010	小さい橈骨骨端
HP:0006671	発作性心房性頻拍
HP:0005341	自律神経性膀胱機能障害
HP:0005343	膀胱低形成
HP:0006673	収縮期機能減少
HP:0004012	早発性橈骨骨端板癒合
HP:0005344	頸動脈の異常
HP:0004013	橈骨骨端板の内側癒合
HP:0005345	大静脈の異常
HP:0004014	幅広い橈骨骨端板
HP:0006689	細菌性心内膜炎
HP:0005357	B 細胞分化障害
HP:0004026	幅広い橈骨骨幹端
HP:0006688	発作性頻拍
HP:0004027	橈骨骨幹の異常
HP:0004028	橈骨骨幹の棘
HP:0031625	偽動脈瘤
HP:0005359	胸腺無形成
HP:0004029	橈骨骨幹の融解病変
HP:0006681	房室結節欠損
HP:0006683	異常な心室充満
HP:0004020	橈骨骨幹端の不規則な骨化
HP:0005352	重症 T-細胞免疫不全
HP:0004021	橈骨骨幹端の融解病変
HP:0006682	心室性期外収縮
HP:0005353	ヘルペスウイルスへの感受性
HP:0004022	縦の線状を伴う硬化性橈骨骨幹端
HP:0006685	心内膜線維症
HP:0004023	傾斜のある橈骨骨幹端
HP:0005354	細胞免疫の欠損
HP:0006684	多発性副伝導路を伴う心室早期興奮
HP:0006687	大動脈蛇行性
HP:0004024	橈骨骨幹端の内方傾斜
HP:0005356	血清補体 factor I 減少
HP:0004025	橈骨骨幹端の棘
HP:0007987	進行性視野障害
HP:0005324	顔表情障害
HP:0007986	網膜血管の増加
HP:0005325	こめかみ毛髪の外側眉毛への伸長
HP:0006655	肋骨分節化異常
HP:0007989	網膜内滲出液
HP:0005326	人中低形成
HP:0007988	黄斑低色素
HP:0006657	第1肋骨低形成
HP:0005327	顔面表情喪失
HP:0005328	プロゲリア様顔貌
HP:0005329	顔面表情固定
HP:0006659	肩内方回転
HP:0007981	同心性視野狭窄
HP:0006650	肩甲骨外側肥厚
HP:0007980	網膜色素上皮欠損
HP:0005320	顔面皮下脂肪欠乏
HP:0007982	中心壁板網膜ジストロフィー
HP:0005321	下顎顔面異骨症
HP:0005322	目立つ鼻中隔
HP:0007985	網膜小動脈閉塞
HP:0007984	b-波振幅減少 (ERG)
HP:0005323	片側顔面肥大
HP:0005335	眠い顔面表情
HP:0004004	不規則な橈骨骨端
HP:0005336	額高色素
HP:0004005	大きな橈骨骨端
HP:0004006	丸い橈骨骨端
HP:0004007	硬化性橈骨骨端
HP:0005338	疎な外側眉毛
HP:0006668	第12肋骨低形成
HP:0005339	補体系の異常
HP:0004008	傾斜のある橈骨骨端
HP:0004009	橈骨骨端の内方傾斜
HP:0007990	虹彩間質低形成
HP:0007992	格子性網膜 変性
HP:0006660	鎖骨無形成
HP:0004000	Chevron型/円錐型橈骨骨端
HP:0007994	末梢視野喪失
HP:0005332	反復性下顎亜脱臼
HP:0007993	涙管奇形
HP:0004001	橈骨骨端の内側欠乏
HP:0006665	肋骨のコートハンガーサイン
HP:0004002	平坦な橈骨骨端
HP:0004003	橈骨骨端の内側扁平化
HP:0006634	骨硬化症 (肋骨)
HP:0005302	頚動脈蛇行
HP:0007965	視覚誘発電位欠損
HP:0005303	大動脈弓石灰化
HP:0006633	肩甲骨関節窩低形成
HP:0007964	変性性硝子体網膜症
HP:0005304	肺静脈
HP:0005305	大脳静脈血栓症
HP:0006638	鎖骨中部無形成
HP:0005306	毛細血管血管腫
HP:0007968	持続性過形成性一次硝子体
HP:0005307	代償性頻拍を伴う姿勢性低血圧
HP:0006637	胸骨の点状石灰化
HP:0005308	肺動脈血管収縮
HP:0005309	末梢血管不全
HP:0007961	希薄な網膜色素
HP:0007963	巨大網状網膜ジストロフィー
