OMIM:616033	小頭-低身長-ブドウ糖代謝異常
OMIM:218000	脳梁欠損-感覚運動ニューロパチー
OMIM:615616	催不整脈性右室異形成, 家族性 13
OMIM:613090	Bartter 症候群 4B型, 新生児, 感音難聴
OMIM:312612	色素性網膜炎 6 (RP6)
OMIM:613740	
OMIM:600792	難聴, 感音性, 常染色体劣性, 5 (DFNB5)
OMIM:616649	球状赤血球症2型
OMIM:125310	認知症, 遺伝性多発性梗塞型
OMIM:613659	
OMIM:109800	
OMIM:102660	
OMIM:259500	
OMIM:424500	
OMIM:603956	
OMIM:151400	
OMIM:609423	
OMIM:181500	統合失調症
OMIM:166710	骨粗鬆症, 退行性
OMIM:606690	リンパ脈管平滑筋腫症
OMIM:156240	
OMIM:114900	
OMIM:100050	Aarskog 症候群, 常染色体優性
OMIM:100100	プルーンベリー症候群
OMIM:100200	外転筋麻痺 (眼)
OMIM:100700	Achard 症候群
OMIM:100800	軟骨無形成症
OMIM:100820	ACHOO 症候群
OMIM:101000	神経線維腫症 II 型
OMIM:101120	尖頭多合指症 III 型 (ACPS III)
OMIM:101200	Apert 症候群
OMIM:101400	Saethre-Chotzen 症候群 (SCS)
OMIM:101600	Pfeiffer 症候群
OMIM:101800	肢端異骨症 1 +/- ホルモン抵抗性
OMIM:101805	肢端顔異骨症, Catania 型 (AFD, Catania 型)
OMIM:101840	先端角皮症, 遺伝性丘疹性透明性
OMIM:101850	角皮症, 掌蹠, 点状 III 型
OMIM:101900	疣贅性先端角化症
OMIM:102000	肢端白斑, 対称性
OMIM:102100	末端肥大症様変化-脳回状頭頂頭皮-角膜ロイコーマ
OMIM:102150	末端肥大症様顔貌症候群
OMIM:102200	下垂体腺腫 1, 多形型
OMIM:102300	むずむず脚症候群, 感受性1
OMIM:102350	烏口突起部皮膚陥凹
OMIM:102370	小肢端性異形成
OMIM:102400	先端骨融解症, 常染色体優性型
OMIM:102500	Hajdu-Cheney 症候群
OMIM:102510	肢端胸筋脊椎骨異形成, F型
OMIM:102520	先端腎症候群
OMIM:102530	精子形成不全6
OMIM:102590	
OMIM:102650	無指症, 片側性
OMIM:102700	重症複合免疫不全, 常染色体劣性, T細胞陰性, B細胞陰性, NK細胞陰性, アデノシンデミナーゼ欠損による
OMIM:102730	アデノシン デミナーゼ高値による溶血性貧血
OMIM:102800	アデノシン・トリフォスファターゼ欠損症による貧血
OMIM:102900	Adenosine triphosphate 高値, 赤血球
OMIM:103050	Adenylosuccinase欠損症
OMIM:103200	有痛性脂肪腫
OMIM:103230	副腎皮質機能低下症, 慢性原発性先天性
OMIM:103285	ADULT 症候群
OMIM:103300	舌低形成-指趾低形成
OMIM:103400	アインヒューム
OMIM:103420	無涙症, 先天性, 常染色体優性
OMIM:103500	Tietz 白皮症- 難聴症候群
OMIM:103580	偽性副甲状腺機能低下症 Ia 型 (PHP IA)
OMIM:103780	
OMIM:103900	高アルドステロン症, 家族性I型)
OMIM:104000	円形脱毛症
OMIM:104100	掌蹠角皮症-先天性禿頭1
OMIM:104110	禿頭, 家族性部分
OMIM:104130	禿頭-精神運動てんかん-膿漏-精神遅滞
OMIM:104200	Alport 症候群, 常染色体優性
OMIM:104290	交代性片麻痺, 小児, 1
OMIM:104300	Alzheimer 病 (AD)
OMIM:104310	Alzheimer 病2 (AD2)
OMIM:104350	無乳房症, 両側性-三重尿管-形態異常
OMIM:104400	無肢症-先端横断性半肢症
OMIM:104500	エナメル質形成不全 IB 型
OMIM:104510	エナメル質形成不全, 未熟-低形成型-タウロドント
OMIM:104530	エナメル質形成不全IA型
OMIM:104570	エナメル質-爪-低汗症候群
OMIM:104600	無月経-乳漏症候群
OMIM:105120	アミロイドーシス, フィンランド型
OMIM:105150	大脳アミロイド血管症, CST3関連
OMIM:105200	アミロイドーシス, 家族性内蔵型
OMIM:105210	アミロイドーシス, 遺伝性, transthyretin 関連
OMIM:105300	筋萎縮性ジストニア性対麻痺
OMIM:105400	筋萎縮性側索硬化症 1 (ALS1)
OMIM:105500	筋萎縮性側索硬化症, グアム型
OMIM:105550	前頭側頭葉認知症 +/- 筋萎縮性側索硬化症1
OMIM:105563	肛門括約筋異形成 (ASDP)
OMIM:105565	肛門括約筋ミオパチー, 内
OMIM:105580	
OMIM:105600	貧血, 先天性赤血球造血異常性, III
OMIM:105650	Diamond-Blackfan 貧血 1
OMIM:105800	動脈瘤, 頭頭蓋内漿果状1
OMIM:105805	心室間中隔動脈瘤
OMIM:105830	Angelman 症候群 (AS)
